Produktnamn,Kategori,"A1-A3 resursens klimatpåverkan, konservativt värde",A4 transporters klimatpåverkan GWP-GHG,"A5 byggspills klimatpåverkan GWP-GHG, konservativt värde",Enhet för klimatpåverkan,Omräkningsfaktor,Enhet för omräkningsfaktor
"HDF-skiva, HDF (torr process)",Byggskivor,0.638,0.0626,0.07,kg CO₂e/kg,850.0,kg/m³
"Hård skiva, HB (våt process)",Byggskivor,0.373,0.0626,0.0435,kg CO₂e/kg,940.0,kg/m³
Skifferplattor inkl infästning av stål,Murblock och tegel,0.82,0.0487,0.0434,kg CO₂e/kg,2800.0,kg/m³
"Skruvar, primär stål",Stål och andra metaller,5.89,0.187,0.304,kg CO₂e/kg,7850.0,kg/m³
"Skruvar, rostfritt stål",Stål och andra metaller,7.9,0.187,0.404,kg CO₂e/kg,7850.0,kg/m³
 Färdigblandad fyllnadsbruk (för håldäck mm),Bruk och bindemedel,0.22,0.0036,0.00671,kg CO₂e/kg,2350.0,kg/m³
"Galvaniserade stålprodukter, 80 % primär",Stål och andra metaller,3.33,0.0765,0.17,kg CO₂e/kg,7850.0,kg/m³
Cementbunden träullsplatta,Isolering,0.715,0.111,0.0578,kg CO₂e/kg,450.0,kg/m³
"Takduk, PVC",Tätskikt,5.69,0.0417,0.286,kg CO₂e/kg,39.2,kg/m²
"Fönster, aluminium, alla typer, 3-glas","Fönster, dörrar och glas",3.83,0.0626,0.0,kg CO₂e/kg,39.2,kg/m²
Perlit,Isolering,0.25,0.0626,0.0156,kg CO₂e/kg,85.0,kg/m³
"Cellglas, krossad, > 90% återvunnet glas",Isolering,0.313,0.0626,0.0113,kg CO₂e/kg,180.0,kg/m³
"Cellglas, skivor, > 90% återvunnet glas",Isolering,1.02,0.0626,0.109,kg CO₂e/kg,140.0,kg/m³
"Cellglas, skivor, > 50% återvunnet glas",Isolering,1.89,0.0626,0.195,kg CO₂e/kg,95.0,kg/m³
"Torkbetong, exponeringsklass XC1",Bruk och bindemedel,0.222,0.0036,0.00678,kg CO₂e/kg,2350.0,kg/m³
